"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"Sodium Triphosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Solvesso 100, 150","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Sorbitol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sour Crude Oil","V1238-95","3","3","4","1","1","1","X","4","4","4","4","4","4","4","4","X","4","4","",""
"Sour Natural Gas","V1238-95","3","3","4","1","1","1","X","4","4","4","4","4","4","4","4","X","4","4","",""
"Sovasol No. 1, 2, and 3","N0674-70","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"Sovasol No. 73 and 74","V1164-75","2","2","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"Soybean Oil","N0674-70","1","1","3","1","1","1","X","3","4","1","X","3","4","4","4","3","1","1","",""
"Spry","N0674-70","1","1","2","1","1","1","X","2","4","1","1","2","4","4","4","4","1","1","",""
"SR-10 Fuel","N0674-70","1","1","4","1","1","1","X","4","4","2","2","4","4","4","4","4","1","4","",""
"SR-6 Fuel","V1164-75","2","2","4","1","1","1","X","4","4","2","2","4","4","4","4","4","1","4","",""
"Standard Oil Mobilube GX90-EP Lube","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Stannic Ammonium Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Stannic Chloride","N0674-70","1","1","1","1","1","1","X","4","1","X","X","1","1","1","1","4","1","2","",""
"Stannic Chloride, 50%","N0674-70","1","1","1","1","1","1","X","4","1","X","X","1","1","1","1","4","1","2","",""
"Stannic Tetrachloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Stannous Bisulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Stannous Bromide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Stannous Chloride (15%)","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","1","2","",""
"Stannous Fluoride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Stannous Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Stauffer 7700","V1164-75","2","2","4","1","1","1","X","4","4","2","X","4","4","4","4","4","2","4","",""
"Steam Below 400°F","E0692-75","4","4","1","4","1","1","X","4","4","4","4","2","4","4","4","4","4","3","",""
"Steam, 400° - 500°F","E0962-90","4","4","3","4","1","1","X","4","4","4","4","4","4","4","4","4","4","4","",""
"Steam, Above 500°F","FF200-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Stearic Acid","N0674-70","2","2","2","X","1","1","X","2","2","X","X","2","2","2","2","2","X","2","",""
"Stoddard Solvent","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","4","",""
"Strontium Acetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Strontium Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Strontium Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Strontium Hydroxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Strontium Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Styrene (Monomer)","V1164-75","4","4","4","2","1","1","X","4","4","4","X","4","4","4","4","4","3","4","",""
"Succinic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sucrose Solutions","N0674-70","1","1","1","1","1","1","X","2","1","4","4","1","1","1","1","2","1","1","",""
"Sulfamic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sulfanilic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sulfanilic Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Sulfanilimide","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Sulfite Liquors","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sulfolane","E0540-80","2","2","1","2","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Sulfonated Oils","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Sulfonic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sulfonyl Choride","E0540-80","3","3","1","3","2","2","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sulfur","E0540-80","4","4","1","1","1","1","X","1","4","4","X","1","4","4","4","X","1","X","",""
"Sulfur (Molten)","V1164-75","4","4","3","1","1","1","X","3","4","4","4","3","4","4","4","4","3","3","",""
"Sulfur Chloride","V1164-75","4","4","4","1","1","1","X","4","4","4","X","4","4","4","4","4","1","3","",""
"Sulfur Dioxide, Dry","E0540-80","4","4","1","4","1","1","X","4","2","4","X","2","2","2","2","4","2","2","",""
"Sulfur Dioxide, Liquidified under pressure","E0540-80","4","4","1","4","1","1","X","4","4","4","X","2","4","4","4","4","2","2","",""
"Sulfur Dioxide, Wet","E0540-80","4","4","1","4","1","1","X","2","4","4","X","1","4","4","4","3","2","2","",""
"Sulfur Hexafluoride","E0540-80","2","2","1","3","2","2","3","1","X","X","X","X","X","X","X","X","X","X","",""
"Sulfur Liquors","V0834-70","2","2","2","1","1","1","X","2","2","4","X","2","2","2","2","2","2","4","",""
"Sulfur Monochloride","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Sulfur Tetrafluoride","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Sulfur Trioxide Dry","V1164-75","4","4","2","1","1","1","X","4","3","4","X","2","2","2","2","4","2","2","",""
"Sulfuric Acid (20% Oleum)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sulfuric Acid, 3 Molar to 158°F","E0540-80","2","2","1","1","1","1","X","2","3","2","4","1","X","X","X","1","1","1","",""
"Sulfuric Acid, Concentrated Room Temp","V1164-75","X","X","3","1","1","1","X","X","X","X","3","X","X","X","X","X","X","X","",""
"Sulfuric Acid, Concentrated to 158°F","V1164-75","4","X","4","1","1","1","X","4","4","4","4","4","X","X","X","X","4","4","",""
"Sulfuric Chlorohydrin (Chlorosulfonic Acid)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sulfurous Acid","V1164-75","2","2","2","1","1","1","X","2","2","4","3","2","2","2","2","1","X","4","",""
"Sunoco #3661","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Sunoco All purpose grease","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Sunoco SAE 10","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Sunsafe (Fire resist. hydr. fluid)","N0674-70","1","1","4","1","1","1","X","2","4","4","4","4","4","4","4","2","1","X","",""
"Super Shell Gas","N1500-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","4","2","4","",""
"Surfuryl Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Swan Finch EP Lube","N0674-70","1","1","4","1","1","1","X","4","4","1","1","4","4","4","4","4","1","4","",""
"Swan Finch Hypoid-90","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","4","",""
"Tallow","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Tannic Acid (10%)","N0674-70","1","1","1","1","1","1","X","1","2","4","X","1","1","1","1","1","1","2","",""
"Tar, bituminous","V1164-75","2","2","4","1","1","1","X","3","4","4","X","4","4","2","3","4","1","2","",""
"Tartaric Acid","N0674-70","1","1","2","1","1","1","X","2","4","X","1","2","2","1","3","1","1","1","",""
"Tellone II","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Terephthalic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Terpineol","V1164-75","2","2","3","1","1","1","X","4","4","X","2","3","4","4","4","4","1","X","",""
"Terpinyl Acetate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Tertiary Amyl Methyl Ether (TAME)","V3819-75","X","X","X","X","2","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Tertiary Butyl Catechol or p-tert-butylcatechol","V1164-75","4","4","2","1","1","1","X","2","2","4","4","2","2","4","4","2","1","X","",""
"Tertiary Butyl Mercaptan","V1164-75","4","4","4","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Tetrabromoethane","V1164-75","4","4","4","1","1","1","X","4","4","4","X","4","4","4","4","4","2","4","",""
"Tetrabromomethane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Tetrabutyl Titanate","E0540-80","2","2","1","1","1","1","X","2","2","X","X","2","2","2","2","4","4","4","",""
"Tetrachloroethylene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Tetrachoroethane","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","X","",""
"Tetraethyl Lead","V1164-75","2","2","4","1","1","1","X","2","4","X","X","4","4","4","4","4","2","X","",""
"Tetraethyl Lead “Blend”","V1164-75","2","2","4","1","1","1","X","4","4","X","X","4","4","4","4","4","2","X","",""
"Tetraethyl Orthosilicate (TEOS)","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Tetrahydrofuran","FF500-75","4","4","2","4","1","1","X","4","4","4","3","2","4","4","4","4","4","4","",""
"Tetrahydrothiophen","V1164-75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Tetralin","V1164-75","4","4","4","1","1","1","X","4","4","X","X","4","4","4","4","4","1","4","",""
"Tetramethyl Ammonium Hydroxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","X","2","",""
"Tetramethylcyclotetrasiloxane (TMCTS)","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Tetramethyldihydropyridine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Tetraphosphoglucosate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Tetraphosphoric Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Tetrasodium Pyrophosphate","E0540-80","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Texaco 3450 Gear Oil","N0674-70","1","1","4","1","1","1","X","4","4","1","1","4","4","4","4","4","1","4","",""
"Texaco Capella A and AA","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Texaco Meropa 220 (No Lead)","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Texaco Regal B","N0674-70","1","1","4","1","1","1","X","4","4","1","1","4","4","4","4","4","1","4","",""
"Texaco Uni-Temp Grease","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","2","",""
"Texamatic “A” 1581 Fluid","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","2","4","",""
"Texamatic “A” 3401 Fluid","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","2","4","",""
"Texamatic “A” 3525 Fluid","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","2","4","",""
"Texamatic “A” 3528 Fluid","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","2","4","",""
"Texamatic “A” Transmission Oil","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","2","4","",""
"Texas 1500 Oil","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","2","",""
"Therminol 44","V1164-75","4","4","4","1","1","1","X","4","X","4","X","4","X","X","X","X","X","4","",""
"Therminol 55","V1164-75","2","2","4","1","1","1","X","4","X","2","X","4","X","X","X","X","X","4","",""
"Therminol 66","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Therminol FR","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Therminol VP-1, 60, 65","V1164-75","4","4","4","1","1","1","X","4","X","4","X","4","X","X","X","X","X","2","",""
"Thio Acid Chloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Thioamyl Alcohol","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Thiodiacetic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Thioethanol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Thioglycolic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Thiokol TP-90B","E0540-80","4","4","1","1","1","1","X","2","4","X","X","1","X","X","X","2","2","X","",""
"Thiokol TP-95","E0540-80","4","4","1","1","1","1","X","2","4","X","X","1","X","X","X","2","2","X","",""
"Thionyl Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Thiophene (Thiofuran)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Thiophosphoryl Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Thiourea","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Thorium Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Tidewater Multigear, 140 EP Lube","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Tidewater Oil-Beedol","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","2","",""
"Tin Ammonium Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Tin Chloride","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Tin Tetrachloride","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Titanic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Titanium Chloride","V1164-75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Titanium Dioxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Titanium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Titanium Tetrachloride","V1164-75","2","2","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Toluene","V1164-75","4","4","4","1","2","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Toluene Bisodium Sulfite","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Toluene Diisocyanate (TDI)","E0540-80","4","4","2","4","1","1","X","4","4","4","X","2","4","4","4","4","4","4","",""
"Toluene Sulfonyl Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Toluenesulfonic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Toluidine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Toluol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Toluquinone","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Tolylaldehyde","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Toothpaste","E3609-70","1","1","1","1","1","1","1","1","1","2","3","1","1","1","1","1","1","1","",""
"Transformer Oil","N0674-70","1","1","4","1","1","1","X","2","4","2","1","4","4","4","4","4","1","2","",""
"Transmission Fluid Type A","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Triacetin","E0540-80","2","2","1","4","1","1","X","2","3","4","4","1","2","2","2","2","4","X","",""
"Triaryl Phosphate","E0540-80","4","4","1","1","1","1","X","4","4","4","4","1","4","4","4","4","2","3","",""
"Tribromomethylbenzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Tributoxyethyl Phosphate","E0540-80","4","4","1","1","1","1","X","4","2","4","4","1","2","4","2","4","2","X","",""
"Tributyl Citrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Tributyl Mercaptan","V1164-75","4","4","4","1","1","1","X","4","4","4","X","4","4","4","4","4","3","4","",""
"Tributyl Phosphate","E0540-80","4","4","1","4","1","1","X","4","4","4","4","2","4","2","2","4","4","4","",""
"Tributylamine","FF500-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Trichloroacetic Acid","E0540-80","2","2","2","3","1","1","X","4","2","4","4","2","2","2","2","4","4","X","",""
"Trichloroacetyl Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Trichlorobenzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Trichloroethane","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Trichloroethanolamine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Trichloroethylene","V1164-75","3","3","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Trichloromethane","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Trichloronitromethane (Chloropicrin)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Trichlorophenylsilane","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Trichloropropane","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Trichlorosilane","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Tricresyl Phosphate","E0540-80","4","4","1","2","1","1","X","3","2","4","4","1","4","4","4","4","2","3","",""
"Triethanol Amine","E0540-80","3","3","2","4","1","1","X","2","2","4","4","2","2","2","2","2","4","X","",""
"Triethyl Phosphate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Triethylaluminum","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Triethylborane","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Triethylene Glycol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Triethylenetetramine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Trifluoroacetic Acid","E0540-80","3","3","1","3","2","2","X","1","1","4","4","1","1","1","1","1","1","2","",""
